"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2","Time (s) Run #3","Position (m) Run #3","Force (N) Run #3","Speed (mm/min) Run #3"
48.400,-0.00145,-41,-0.13,48.400,-1.27635E-4,-990,0.00,,,,
48.600,-0.00145,-46,-0.13,48.600,-1.27635E-4,-990,0.00,,,,
48.800,-0.00145,-46,-0.10,48.800,-1.27635E-4,-990,0.00,,,,
49.000,-0.00145,-46,-0.10,49.000,-1.27635E-4,-990,0.00,,,,
49.200,-0.00145,-48,-0.10,49.200,-1.27635E-4,-990,0.00,,,,
49.400,-0.00145,-52,-0.06,49.400,-1.27635E-4,-990,-0.03,,,,
49.600,-0.00145,-52,-0.03,49.600,-1.27635E-4,-992,-0.06,,,,
49.800,-0.00145,-52,0.00,49.800,-1.28270E-4,-997,-0.06,,,,
50.000,-0.00145,-52,0.00,50.000,-1.28270E-4,-997,-0.03,,,,
50.200,-0.00145,-52,0.00,50.200,-1.28270E-4,-998,0.00,,,,
50.400,-0.00145,-53,0.00,50.400,-1.28270E-4,-998,0.00,,,,
50.600,-0.00145,-53,0.00,50.600,-1.28270E-4,-998,0.00,,,,
50.800,-0.00145,-53,0.00,50.800,-1.28270E-4,-998,0.00,,,,
51.000,-0.00145,-52,0.00,51.000,-1.28270E-4,-998,0.00,,,,
51.200,-0.00145,-52,0.00,51.200,-1.28270E-4,-998,0.00,,,,
51.400,-0.00145,-52,0.00,51.400,-1.28270E-4,-998,0.00,,,,
51.600,-0.00145,-52,0.00,51.600,-1.28270E-4,-998,0.00,,,,
51.800,-0.00145,-52,0.00,51.800,-1.28270E-4,-998,0.00,,,,
52.000,-0.00145,-52,0.00,52.000,-1.28270E-4,-998,0.00,,,,
52.200,-0.00145,-52,0.00,52.200,-1.28270E-4,-998,0.00,,,,
52.400,-0.00145,-52,0.00,52.400,-1.28270E-4,-998,0.00,,,,
52.600,-0.00145,-52,0.03,52.600,-1.28270E-4,-998,-0.06,,,,
52.800,-0.00145,-52,0.06,52.800,-1.28270E-4,-998,-0.13,,,,
53.000,-0.00145,-49,0.06,53.000,-1.29540E-4,-1005,-0.13,,,,
53.200,-0.00145,-47,0.03,53.200,-1.29540E-4,-1009,-0.06,,,,
53.400,-0.00145,-46,0.00,53.400,-1.29540E-4,-1008,0.00,,,,
53.600,-0.00145,-46,0.00,53.600,-1.29540E-4,-1008,0.00,,,,
53.800,-0.00145,-46,0.00,53.800,-1.29540E-4,-1008,0.00,,,,
54.000,-0.00145,-46,0.00,54.000,-1.29540E-4,-1008,0.00,,,,
54.200,-0.00145,-46,0.00,54.200,-1.29540E-4,-1008,0.00,,,,
54.400,-0.00145,-46,0.00,54.400,-1.29540E-4,-1008,0.00,,,,
54.600,-0.00145,-46,0.00,54.600,-1.29540E-4,-1008,0.00,,,,
54.800,-0.00145,-46,0.00,54.800,-1.29540E-4,-1008,0.00,,,,
55.000,-0.00145,-46,0.00,55.000,-1.29540E-4,-1009,0.00,,,,
55.200,-0.00145,-46,0.00,55.200,-1.29540E-4,-1008,0.00,,,,
55.400,-0.00145,-46,0.00,55.400,-1.29540E-4,-1008,0.00,,,,
55.600,-0.00145,-46,0.00,55.600,-1.29540E-4,-1009,0.00,,,,
55.800,-0.00145,-46,0.00,55.800,-1.29540E-4,-1009,0.00,,,,
56.000,-0.00145,-46,0.00,56.000,-1.29540E-4,-1008,0.00,,,,
56.200,-0.00145,-46,0.00,56.200,-1.29540E-4,-1009,0.00,,,,
56.400,-0.00145,-46,0.00,56.400,-1.29540E-4,-1009,0.00,,,,
56.600,-0.00145,-46,0.00,56.600,-1.29540E-4,-1009,0.00,,,,
56.800,-0.00145,-46,0.00,56.800,-1.29540E-4,-1009,0.00,,,,
57.000,-0.00145,-46,0.00,57.000,-1.29540E-4,-1009,0.00,,,,
57.200,-0.00145,-46,0.00,57.200,-1.29540E-4,-1009,0.00,,,,
57.400,-0.00145,-46,0.00,57.400,-1.29540E-4,-1008,0.00,,,,
